date,Czech Republic,Austria,Canada,Belgium,Denmark,Finland,France,Germany,Hungary,Ireland,Italy,Netherlands,Norway,Poland,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,USA,United Kingdom,Bosnia and Herzegovina
2009-02,9,40,23,36,0,0,20,29,4,8,8,27,22,13,32,0,10,11,37,17,23,26,0
2009-03,11,23,25,37,0,27,25,27,6,13,13,29,34,14,28,0,10,21,48,29,28,30,10
2009-04,14,40,30,32,0,0,32,32,7,17,16,39,41,21,41,0,12,21,47,36,28,37,16
2009-05,19,48,31,28,31,39,25,45,10,23,21,46,29,17,60,17,16,27,61,40,35,37,18
2009-06,28,39,29,40,42,34,47,44,19,29,26,47,60,26,71,31,21,38,66,39,35,41,12
2009-07,37,82,36,44,44,42,47,47,23,30,31,53,54,37,74,41,32,40,67,46,28,39,26
2009-08,31,55,24,33,0,32,26,41,14,15,29,49,0,27,52,34,15,25,33,31,30,33,20
2009-09,17,50,19,22,0,0,17,28,7,9,8,20,21,8,17,0,13,17,33,24,21,18,13
2009-10,8,23,18,28,0,0,11,22,4,0,6,27,28,6,5,0,10,14,26,9,15,12,10
2009-11,6,15,12,20,0,0,14,17,0,4,6,19,0,5,6,0,8,13,22,9,13,10,0
2009-12,5,28,16,16,0,0,6,18,0,7,5,26,29,0,5,0,6,7,0,18,15,9,13
2010-01,8,22,23,25,31,24,14,23,0,13,7,36,38,9,19,0,7,14,36,18,24,23,0
2010-02,9,28,20,41,33,0,13,28,4,13,8,33,31,12,23,0,10,13,34,19,23,21,12
2010-03,10,22,27,24,29,22,25,26,6,13,10,27,33,12,23,11,9,14,31,23,29,25,11
2010-04,13,49,31,43,29,30,28,38,7,19,14,50,25,8,31,12,16,21,46,35,30,29,0
2010-05,16,41,34,44,54,32,24,39,10,16,14,42,39,13,40,14,21,26,40,31,32,29,11
2010-06,26,49,29,41,43,32,33,40,14,19,21,47,39,21,46,16,19,35,52,31,31,32,17
2010-07,35,61,28,41,42,0,36,48,17,15,26,59,61,28,56,40,26,43,43,41,34,35,20
2010-08,25,56,25,34,0,0,32,37,14,10,22,39,31,20,45,29,16,23,28,32,26,27,11
2010-09,12,24,24,29,0,0,16,27,4,7,9,31,19,7,10,0,13,12,30,28,18,15,11
2010-10,7,23,12,0,0,25,15,23,0,4,6,19,14,0,6,0,9,9,26,19,15,9,0
2010-11,5,11,15,17,0,0,9,17,0,4,5,12,0,5,4,8,5,8,21,10,13,8,9
2010-12,6,14,12,17,0,0,13,19,0,2,5,20,0,6,4,0,8,8,22,17,14,8,10
2011-01,5,16,25,27,27,20,15,24,3,10,6,26,35,11,12,7,11,10,22,17,20,24,6
2011-02,7,33,26,28,34,19,22,25,4,10,6,29,22,9,15,4,10,14,26,22,22,24,5
2011-03,9,29,32,26,30,30,28,32,5,11,9,23,31,8,18,5,10,15,31,24,23,24,7
2011-04,11,22,32,28,24,31,24,33,5,13,11,27,26,10,18,6,13,24,48,29,23,29,8
2011-05,14,44,38,37,36,33,25,34,9,14,15,34,36,16,21,15,14,24,41,36,35,35,8
2011-06,23,55,30,40,43,46,29,44,12,17,18,40,63,20,39,23,26,27,47,34,32,38,11
2011-07,26,55,41,47,49,36,34,44,16,16,25,56,43,24,47,37,29,31,54,40,27,40,12
2011-08,19,43,28,25,25,29,23,41,14,11,18,32,29,18,31,19,19,23,20,24,22,29,10
2011-09,12,29,20,20,19,18,14,27,5,6,8,23,14,9,11,8,10,9,22,24,20,19,11
2011-10,6,28,21,20,0,0,11,22,2,4,7,20,18,7,6,0,11,8,27,17,17,12,7
2011-11,4,20,15,23,17,0,11,24,3,3,4,14,9,6,5,0,8,6,14,12,14,9,6
2011-12,4,14,15,23,12,0,12,21,2,3,5,13,16,7,4,4,8,6,8,15,15,9,5
2012-01,7,26,27,30,31,17,26,33,4,10,7,25,33,14,14,6,9,10,20,23,22,29,5
2012-02,7,24,28,31,25,28,21,27,4,11,7,25,28,12,12,8,11,18,27,26,23,25,5
2012-03,9,34,27,33,26,46,28,35,5,10,11,26,28,12,14,7,14,21,29,29,22,26,7
2012-04,10,29,38,42,34,22,27,38,6,12,14,34,32,14,15,11,17,15,28,30,28,32,7
2012-05,14,48,34,32,40,38,33,50,9,12,17,42,37,18,25,14,19,27,43,32,29,34,6
2012-06,23,60,44,49,44,44,38,53,13,19,23,49,66,21,36,25,26,26,60,37,36,40,9
2012-07,23,66,38,62,52,54,46,61,21,17,29,49,74,35,38,34,34,37,67,41,33,42,11
2012-08,20,53,31,43,35,35,33,50,15,9,27,39,29,24,27,24,24,28,30,35,26,36,11
2012-09,11,33,23,36,24,26,21,38,6,6,10,27,27,10,11,7,15,18,22,19,19,20,11
2012-10,5,18,16,23,17,0,16,23,3,3,5,12,21,5,3,5,11,9,19,18,13,12,4
2012-11,4,15,16,19,14,0,14,20,2,3,4,15,23,4,4,0,8,7,19,13,13,10,5
2012-12,4,11,17,18,12,0,15,19,1,3,5,15,19,7,4,4,3,7,17,12,14,10,3
2013-01,6,26,29,34,31,25,19,32,4,9,6,28,55,11,16,7,7,11,26,23,23,31,6
2013-02,7,23,27,40,40,0,23,32,3,10,7,31,33,10,12,7,10,13,26,23,21,28,6
2013-03,9,34,32,39,39,29,28,32,5,9,9,34,42,11,13,9,14,16,33,23,23,30,5
2013-04,10,35,34,36,32,48,34,37,7,14,11,37,45,15,14,11,17,19,31,27,25,33,8
2013-05,13,46,35,55,33,44,33,47,8,15,14,49,46,21,23,15,23,23,44,33,28,38,9
2013-06,20,54,36,55,44,43,40,49,15,19,19,50,69,25,28,23,24,27,46,33,29,44,7
2013-07,25,61,34,72,44,46,46,59,20,16,27,57,76,29,31,38,31,30,50,39,28,43,8
2013-08,20,54,33,49,23,40,34,47,15,10,26,34,26,27,23,23,21,24,28,32,24,34,9
2013-09,11,34,23,35,15,22,24,35,5,7,9,28,20,10,7,6,13,18,21,29,17,22,6
2013-10,5,19,17,24,17,13,14,23,2,4,6,21,13,4,4,3,11,14,17,18,14,13,4
2013-11,4,15,17,24,16,0,11,24,2,3,3,22,21,7,5,4,7,5,14,17,15,11,5
2013-12,4,14,17,19,16,15,13,22,2,3,4,18,16,7,6,5,8,7,15,17,15,13,3
2014-01,7,25,29,49,30,39,19,29,5,13,5,26,41,14,12,10,8,10,26,21,23,33,5
2014-02,7,27,28,40,34,27,27,32,5,10,9,27,34,10,10,5,10,14,30,17,21,29,4
2014-03,9,36,35,33,31,28,25,35,5,9,10,32,29,11,12,8,13,14,34,24,24,31,4
2014-04,9,46,38,37,33,42,34,38,5,13,15,36,34,13,12,8,19,19,35,31,26,35,4
2014-05,12,38,36,43,40,38,34,39,8,14,15,41,38,15,15,14,17,23,39,27,28,35,5
2014-06,27,58,45,52,44,64,38,48,16,16,25,45,73,22,28,28,23,43,58,31,45,44,8
2014-07,24,71,40,60,59,37,53,54,20,17,28,61,73,30,27,45,30,37,63,43,30,43,10
2014-08,19,53,33,38,22,32,46,53,16,10,27,37,22,27,21,30,25,27,30,28,25,37,12
2014-09,9,29,22,29,21,20,23,36,7,6,9,23,14,9,9,7,13,18,20,19,19,23,5
2014-10,5,20,15,25,22,22,15,23,3,4,4,16,10,4,4,4,9,8,19,18,15,16,4
2014-11,5,14,15,23,11,22,15,23,2,3,6,21,9,4,5,0,7,9,9,21,14,13,4
2014-12,5,16,21,22,14,18,11,18,3,4,4,17,11,6,5,4,9,8,15,15,15,12,3
2015-01,6,25,32,40,28,31,20,28,4,15,7,33,31,11,13,7,12,14,29,24,25,37,4
2015-02,8,28,32,32,28,31,24,28,5,11,9,29,25,11,11,7,10,17,28,23,21,31,6
2015-03,8,30,36,45,25,32,31,36,6,14,10,31,32,10,10,8,13,20,24,21,25,33,6
2015-04,10,35,38,42,22,48,33,36,6,14,14,40,25,12,12,9,15,19,37,25,27,37,6
2015-05,12,42,40,39,34,47,38,45,9,15,16,42,38,15,14,11,17,21,45,33,31,39,6
2015-06,19,52,41,61,41,71,40,50,16,21,20,47,57,22,24,24,23,34,59,35,33,52,9
2015-07,25,61,39,75,59,61,55,61,20,22,29,69,74,37,33,35,31,34,65,40,34,58,13
2015-08,17,41,38,54,28,42,45,58,17,14,26,45,34,23,20,25,26,34,28,37,34,43,12
2015-09,12,38,28,34,26,23,22,44,7,9,9,25,26,8,7,6,18,16,28,26,24,28,6
2015-10,5,16,22,23,19,13,15,25,3,4,5,18,19,5,5,2,11,10,17,21,17,18,4
2015-11,3,20,21,20,16,14,10,21,2,4,4,17,14,5,5,3,9,8,14,16,13,16,5
2015-12,4,19,20,25,18,37,10,20,2,5,4,17,14,5,6,2,5,7,17,16,15,15,3
2016-01,5,24,31,45,21,33,14,30,4,17,6,35,30,10,14,6,10,16,30,19,23,40,3
2016-02,6,28,32,47,36,32,23,30,5,11,9,35,32,7,14,7,12,16,24,19,24,36,5
2016-03,7,35,37,46,34,29,30,32,6,13,10,36,26,12,13,10,14,18,39,23,27,35,6
2016-04,9,29,42,35,37,54,36,34,7,15,12,38,33,13,14,13,17,22,37,21,29,40,5
2016-05,11,42,45,52,37,71,34,44,9,18,14,48,52,16,17,14,17,25,46,28,32,48,7
2016-06,22,53,50,54,70,80,44,54,13,18,24,45,62,18,80,22,22,32,63,37,37,50,8
2016-07,21,75,48,71,69,69,50,58,21,17,30,59,72,27,36,37,34,39,71,47,37,60,13
2016-08,15,49,35,42,36,42,43,51,15,14,22,36,29,23,27,18,23,28,38,27,30,47,10
2016-09,10,31,28,28,15,25,26,36,6,10,10,26,22,10,10,8,14,20,28,19,22,35,7
2016-10,5,17,22,19,0,20,14,26,4,8,6,22,10,5,7,0,10,9,16,16,20,23,6
2016-11,4,17,21,24,16,14,14,26,3,6,6,21,19,6,5,0,7,11,13,15,21,17,4
2016-12,5,14,20,29,24,21,13,24,2,6,4,19,16,7,6,0,8,6,14,16,21,18,4
2017-01,7,29,43,38,43,44,20,33,6,20,7,33,44,13,16,9,11,14,32,20,33,57,3
2017-02,8,33,39,40,47,35,23,32,5,15,8,34,31,11,15,9,12,20,35,22,32,41,5
2017-03,9,28,42,37,43,51,33,34,6,14,11,33,37,10,15,7,11,22,39,28,36,43,5
2017-04,11,46,42,40,41,72,35,38,7,17,14,43,44,18,14,9,17,24,38,32,40,44,5
2017-05,11,51,48,47,38,79,34,50,9,21,16,44,53,15,20,11,18,29,53,31,44,54,7
2017-06,18,66,49,52,53,92,41,56,15,23,23,52,81,27,32,25,28,36,71,35,49,68,12
2017-07,23,75,54,75,77,91,52,66,21,21,27,77,97,31,32,35,34,43,74,46,49,81,13
2017-08,18,59,50,53,39,46,50,60,15,15,28,58,36,26,27,24,29,35,50,29,41,67,12
2017-09,11,30,37,34,24,37,25,44,4,12,12,28,24,10,12,5,15,23,32,23,33,42,8
2017-10,5,23,34,27,24,24,21,37,4,7,7,23,21,8,6,3,12,18,18,20,29,29,7
2017-11,5,20,63,37,27,18,15,34,3,12,6,26,15,7,9,0,9,13,31,23,38,23,7
2017-12,4,17,24,22,16,18,15,27,2,7,3,20,17,6,5,2,8,9,21,15,25,19,6
2018-01,7,36,51,40,46,55,21,39,5,23,6,39,49,14,16,7,13,21,28,22,40,61,5
2018-02,7,27,48,44,48,35,26,36,6,16,8,34,40,11,13,8,9,21,33,25,38,39,5
2018-03,8,31,52,45,42,40,29,39,4,15,10,36,35,10,11,6,11,20,39,25,40,43,5
2018-04,9,44,45,43,36,58,35,43,7,21,14,39,41,13,14,10,17,24,42,28,42,55,7
2018-05,11,52,53,45,46,66,37,53,10,20,16,45,40,13,18,13,19,28,48,38,45,59,8
2018-06,22,61,59,58,61,100,40,57,14,25,24,48,73,22,28,20,27,42,64,34,53,72,10
2018-07,46,74,100,100,100,85,63,83,20,29,42,91,92,30,61,30,32,60,85,48,100,99,11
2018-08,13,58,58,42,34,49,49,59,13,17,25,55,32,18,22,18,23,40,40,32,44,70,13
2018-09,9,35,39,27,25,38,23,44,6,13,12,29,19,8,11,6,18,22,24,23,32,46,6
2018-10,5,24,29,21,23,12,18,32,4,8,6,22,16,5,6,3,12,14,15,20,25,30,6
2018-11,5,15,28,23,20,0,12,25,3,7,6,15,11,4,6,6,10,11,21,17,25,21,6
2018-12,4,19,29,20,19,16,14,25,2,7,5,19,21,5,7,4,9,10,13,16,25,21,6
2019-01,6,28,49,35,33,32,23,35,4,23,8,35,31,10,16,7,11,17,30,21,40,53,6
2019-02,6,30,45,34,36,19,21,37,5,15,10,34,24,10,14,9,11,21,33,23,37,39,6
2019-03,7,28,49,38,27,44,29,36,5,15,11,30,36,10,13,7,11,22,32,18,39,38,5
2019-04,9,42,47,40,42,47,34,40,6,18,14,34,29,11,13,10,15,23,40,27,41,45,8
2019-05,9,36,51,42,47,55,33,43,7,20,14,35,45,13,14,9,13,23,40,29,56,60,8
2019-06,16,54,55,47,66,75,38,57,12,25,22,43,58,18,28,22,21,31,50,31,53,64,13
2019-07,18,59,58,69,71,65,43,57,15,24,25,59,61,21,26,26,31,39,63,39,47,65,11
2019-08,14,45,50,44,32,39,44,50,14,20,22,45,28,17,23,18,22,34,32,27,39,60,12
2019-09,9,26,39,33,29,32,23,38,5,14,11,28,20,7,10,6,19,25,25,18,34,42,7
2019-10,5,24,31,27,27,19,16,29,4,9,5,19,12,4,6,4,15,16,29,15,27,28,6
2019-11,4,17,29,29,15,0,13,24,2,8,5,16,13,6,8,7,9,11,14,15,26,18,5
2019-12,4,16,27,25,17,19,14,24,2,9,4,17,11,6,6,3,9,10,18,14,28,21,4
2020-01,6,22,44,38,33,24,19,31,4,19,7,29,31,10,15,6,11,14,31,15,40,52,5
2020-02,5,22,41,33,35,26,20,33,4,14,7,30,33,9,11,6,12,17,30,17,36,34,5
2020-03,6,30,24,22,18,18,15,33,5,8,6,18,11,12,4,6,8,10,20,18,29,16,3
2020-04,5,13,13,7,9,0,8,21,2,4,3,10,9,7,3,4,5,4,16,10,18,9,2
2020-05,7,22,16,18,20,14,8,28,4,7,5,19,10,8,6,4,8,6,15,15,20,13,2
2020-06,19,53,18,35,33,16,16,58,10,10,9,36,11,20,11,17,20,8,31,37,24,19,4
2020-07,27,61,20,36,51,13,29,67,13,7,13,49,15,37,17,26,27,12,34,34,32,33,5
2020-08,20,45,20,27,20,10,25,51,12,5,10,24,6,31,24,19,15,14,23,25,33,39,5
2020-09,9,17,12,16,21,0,15,23,2,4,4,14,6,14,11,6,3,7,15,8,25,10,3
2020-10,4,11,14,13,8,0,6,13,2,3,3,8,4,6,2,3,3,5,10,6,21,7,2
2020-11,4,7,9,11,14,0,4,9,1,3,2,11,5,3,3,0,3,4,7,8,14,6,2
2020-12,3,10,13,9,0,0,6,9,2,3,2,8,5,5,3,2,4,7,9,6,18,8,2
2021-01,4,11,12,13,11,0,6,11,3,4,2,8,4,5,4,3,4,5,9,9,17,9,2
2021-02,4,10,10,8,10,0,7,12,3,4,2,9,8,5,4,3,5,5,11,9,18,9,2
2021-03,5,14,11,11,11,0,6,13,2,4,2,13,0,6,4,4,5,5,15,11,21,12,2
2021-04,8,16,12,11,15,0,12,14,3,4,4,14,6,8,6,5,8,7,12,11,31,9,2
2021-05,11,26,16,22,25,0,21,27,5,7,6,22,6,14,12,11,9,9,19,18,36,11,2
2021-06,24,50,29,49,69,25,26,47,12,11,11,53,15,23,26,21,20,17,33,30,45,19,7
2021-07,26,71,26,58,67,16,38,60,16,11,13,67,29,27,32,27,30,23,33,37,44,43,7
2021-08,18,47,22,50,30,17,32,55,13,15,12,62,18,20,26,15,19,23,29,27,38,60,8
2021-09,9,21,23,26,23,13,13,28,4,9,6,22,16,9,7,5,10,15,15,15,31,32,4
2021-10,5,12,16,16,16,13,10,20,2,8,4,15,13,5,3,3,7,9,10,12,26,16,4
2021-11,4,10,16,18,0,0,8,14,2,5,3,12,8,4,3,0,5,8,9,10,22,10,3
2021-12,3,5,13,10,13,0,7,15,2,5,3,13,5,4,4,0,7,7,6,14,19,11,2
2022-01,6,16,21,31,18,11,11,22,4,17,3,27,14,8,7,4,9,11,14,14,29,38,3
2022-02,6,18,29,28,33,14,17,25,3,14,5,33,30,8,9,6,10,14,21,15,37,34,4
2022-03,7,24,36,32,38,35,21,31,4,15,7,36,24,9,9,6,12,13,24,17,37,32,4
2022-04,10,31,36,37,51,34,28,34,7,20,9,40,33,13,12,11,16,17,40,27,38,45,5
2022-05,11,36,40,44,49,48,33,44,8,26,11,50,39,16,16,14,12,22,37,29,43,54,6
2022-06,18,48,45,51,71,56,34,58,12,27,19,50,43,23,25,23,18,27,57,31,53,55,7
2022-07,23,55,45,63,90,64,40,52,16,21,20,59,63,24,25,27,27,41,80,41,46,54,8
2022-08,16,42,42,43,34,40,40,50,12,18,17,54,30,20,19,20,19,30,32,24,39,47,9
2022-09,9,24,33,27,25,28,22,33,4,12,6,29,16,12,8,5,13,16,26,17,36,30,5
2022-10,5,17,26,18,16,15,15,22,3,7,5,20,11,5,5,2,11,13,12,13,29,22,4
2022-11,7,15,35,29,24,26,12,24,3,8,5,30,13,5,6,2,9,15,20,12,31,18,5
2022-12,20,24,62,41,46,66,21,39,4,13,10,42,29,10,16,6,12,27,36,21,67,32,6
2023-01,7,17,45,29,36,30,18,29,5,20,6,32,31,8,10,6,9,15,29,20,43,44,5
2023-02,6,21,43,29,31,28,21,29,4,13,7,35,30,8,9,5,12,16,26,20,42,31,5
2023-03,7,29,43,36,35,40,21,33,6,14,9,31,25,10,11,7,12,21,29,19,42,32,5
2023-04,9,33,42,34,35,40,28,33,6,15,10,37,26,11,11,10,17,19,35,20,43,37,5
2023-05,11,36,42,39,31,63,31,48,7,18,12,45,26,15,14,11,15,25,36,22,47,40,6
2023-06,17,43,46,39,54,51,33,49,13,19,15,52,40,19,21,19,17,35,41,25,54,47,8
2023-07,20,55,50,43,76,54,37,49,16,18,19,59,51,21,24,28,24,31,57,32,51,50,10
2023-08,14,44,41,39,39,46,29,42,12,12,14,44,20,18,18,15,22,30,33,21,40,36,12
2023-09,9,25,36,25,29,27,20,32,4,10,8,27,16,11,7,7,14,17,25,17,35,29,6
2023-10,5,15,27,18,16,17,14,24,3,6,4,19,12,5,6,3,10,14,15,15,27,19,5
2023-11,4,15,26,15,15,15,11,19,3,6,4,14,9,5,5,0,7,10,15,12,25,14,4
2023-12,4,15,27,14,22,19,10,20,2,6,3,19,12,6,4,2,9,7,12,14,27,15,4
2024-01,6,21,41,27,29,23,15,26,4,14,6,27,28,7,11,6,11,14,25,18,39,34,5
2024-02,6,19,42,32,30,32,22,28,5,13,7,35,32,10,9,6,14,17,26,15,40,29,6
2024-03,8,26,55,30,45,51,23,32,6,14,9,37,32,9,9,8,15,21,42,22,58,30,5
2024-04,8,25,40,34,33,40,30,39,5,14,9,44,25,10,10,8,16,25,28,22,48,35,5
2024-05,10,36,41,35,46,58,33,47,8,14,10,43,29,16,13,10,18,25,51,25,46,32,8
2024-06,17,42,51,38,51,62,35,48,12,18,21,52,40,20,20,19,24,34,60,32,57,47,9
2024-07,18,48,51,50,69,60,39,56,18,16,17,58,53,24,23,27,30,36,65,29,55,47,12
2024-08,14,40,44,35,38,39,40,47,14,12,17,50,19,18,18,17,27,34,37,25,45,41,11
2024-09,9,26,37,26,20,19,24,36,4,10,7,27,18,11,10,7,18,21,21,16,41,30,6
2024-10,5,17,25,19,14,23,17,24,3,6,5,25,14,5,4,3,11,18,17,12,33,19,4
2024-11,5,15,28,19,15,16,13,19,2,6,4,17,6,5,5,3,10,9,13,14,29,13,5
2024-12,4,14,31,16,17,15,12,19,2,6,4,16,9,5,3,4,8,9,7,12,32,15,4
2025-01,5,19,42,23,28,29,17,23,4,13,7,25,24,8,9,5,10,18,19,14,44,33,5
2025-02,5,18,39,28,34,30,25,25,4,10,6,28,23,9,8,4,15,22,31,13,41,28,5
2025-03,7,24,44,35,30,35,24,28,5,11,10,29,21,11,11,7,12,22,23,16,45,29,5
2025-04,7,30,40,28,40,31,24,39,6,10,10,36,25,11,9,6,19,21,30,18,45,32,6
2025-05,9,33,49,36,34,50,27,41,7,13,11,36,28,14,10,11,15,27,36,19,51,39,8
2025-06,15,42,46,31,49,55,31,50,11,15,15,41,40,17,21,16,22,32,58,27,61,42,11
